instance,failed,nominal,draws,pm5_low,pm5_high,pm5_strand_draws,pm5_distinct,pm20_low,pm20_high,pm20_strand_draws,pm20_distinct
83,F1,0.9666666666666667,20,0.9333333333333333,0.9666666666666667,0,2,0.9333333333333333,0.9666666666666667,0,2
83,F2,0.6666666666666667,20,0.33333333333333337,0.7333333333333334,0,4,0.33333333333333337,0.7333333333333334,0,4
83,F3,0.6666666666666667,20,0.33333333333333337,0.6666666666666667,0,3,0.33333333333333337,0.6666666666666667,0,3
83,S1,0.5333333333333333,20,0.0,0.5333333333333333,6,4,0.0,0.5333333333333333,11,4
83,S2,0.8666666666666667,20,0.7333333333333334,0.9,0,3,0.7333333333333334,0.9,0,3
83,S3,0.9333333333333333,20,0.8666666666666667,0.9333333333333333,0,2,0.8666666666666667,0.9333333333333333,0,2
83,S4,0.7,20,0.2666666666666667,0.7,0,4,0.2666666666666667,0.7,0,4
83,W1,0.8666666666666667,20,0.7333333333333334,0.8666666666666667,0,2,0.7333333333333334,0.8666666666666667,0,2
83,W2,0.0,20,0.0,0.3666666666666667,12,2,0.0,0.3666666666666667,9,2
83,W3,0.4,20,0.0,0.4,14,2,0.0,0.4,11,2
84,F1,0.7,20,0.7,0.7,0,1,0.6153846153846154,0.7,0,2
84,F2,0.625,20,0.625,0.625,0,1,0.4,0.625,0,3
84,F3,0.9807692307692307,20,0.9807692307692307,0.9807692307692307,0,1,0.9807692307692307,0.9807692307692307,0,1
84,S1,0.9230769230769231,20,0.9230769230769231,0.9230769230769231,0,1,0.9230769230769231,0.9230769230769231,0,1
84,S2,0.8269230769230769,20,0.8269230769230769,0.8269230769230769,0,1,0.8269230769230769,0.8269230769230769,0,1
84,S3,0.8269230769230769,20,0.8269230769230769,0.8269230769230769,0,1,0.75,0.8269230769230769,0,2
84,S4,0.75,20,0.75,0.75,0,1,0.75,0.8148148148148149,0,2
84,W1,0.9615384615384616,20,0.9615384615384616,0.9615384615384616,0,1,0.9615384615384616,0.9615384615384616,0,1
84,W2,0.3653846153846154,20,0.3653846153846154,0.3653846153846154,0,1,0.3653846153846154,0.3653846153846154,0,1
84,W3,0.825,20,0.825,0.825,0,1,0.6,0.825,0,2
84,W4,0.8269230769230769,20,0.8269230769230769,0.8269230769230769,0,1,0.8269230769230769,0.8269230769230769,0,1
87,F1,0.8604651162790697,20,0.7727272727272727,0.8604651162790697,0,3,0.5909090909090908,0.8604651162790697,0,5
87,F2,0.9534883720930233,20,0.9534883720930233,0.9534883720930233,0,1,0.9534883720930233,0.9534883720930233,0,1
87,F3,0.6976744186046512,20,0.6744186046511628,0.6976744186046512,0,2,0.6744186046511628,0.6976744186046512,0,2
87,F4,0.09090909090909094,20,0.09090909090909094,0.09090909090909094,0,1,0.045454545454545414,0.46153846153846156,0,4
87,S1,0.0,20,0.0,0.39473684210526316,8,3,0.0,0.39473684210526316,11,6
87,S2,0.0,20,0.0,0.39473684210526316,10,2,0.0,0.39473684210526316,11,4
87,S3,0.8837209302325582,20,0.8837209302325582,0.8837209302325582,0,1,0.8837209302325582,0.8837209302325582,0,1
87,S4,0.40909090909090906,20,0.40909090909090906,0.6578947368421053,0,2,0.2272727272727273,0.6578947368421053,0,5
87,W1,0.5526315789473684,20,0.5526315789473684,0.5526315789473684,0,1,0.5526315789473684,0.5526315789473684,0,1
87,W2,0.6923076923076923,20,0.5641025641025641,0.6923076923076923,0,2,0.4545454545454546,0.6923076923076923,0,3
87,W3,0.2272727272727273,20,0.2272727272727273,0.2272727272727273,0,1,0.0,0.2272727272727273,6,2
87,W4,0.6046511627906976,20,0.6046511627906976,0.6046511627906976,0,1,0.6046511627906976,0.6046511627906976,0,1
89,F1,0.16666666666666663,20,0.16666666666666663,0.16666666666666663,0,1,0.16666666666666663,0.5416666666666667,0,2
89,F2,0.8,20,0.8,0.8,0,1,0.7083333333333333,0.8,0,2
89,F3,0.45999999999999996,20,0.45999999999999996,0.45999999999999996,0,1,0.45999999999999996,0.45999999999999996,0,1
89,S1,0.6799999999999999,20,0.6799999999999999,0.6799999999999999,0,1,0.6799999999999999,0.6799999999999999,0,1
89,S2,0.92,20,0.92,0.92,0,1,0.92,0.92,0,1
89,S3,0.125,20,0.125,0.5,0,2,0.125,0.5,0,2
89,W1,0.6799999999999999,20,0.6799999999999999,0.6799999999999999,0,1,0.6799999999999999,0.6799999999999999,0,1
89,W2,0.98,20,0.98,0.98,0,1,0.98,0.98,0,1
89,W3,0.78,20,0.78,0.78,0,1,0.41666666666666663,0.78,0,3
89,W4,0.78,20,0.78,0.78,0,1,0.72,0.78,0,2
90,F1,0.5454545454545454,20,0.5454545454545454,0.5454545454545454,0,1,0.5454545454545454,0.5454545454545454,0,1
90,F2,0.5454545454545454,20,0.5454545454545454,0.5454545454545454,0,1,0.5454545454545454,0.5454545454545454,0,1
90,F3,0.5636363636363637,20,0.5636363636363637,0.5636363636363637,0,1,0.5636363636363637,0.5636363636363637,0,1
90,S1,0.23636363636363633,20,0.23636363636363633,0.23636363636363633,0,1,0.23636363636363633,0.5272727272727273,0,3
90,S2,0.6,20,0.6,0.6,0,1,0.6,0.6226415094339622,0,2
90,S3,0.5454545454545454,20,0.5454545454545454,0.5454545454545454,0,1,0.5454545454545454,0.7547169811320755,0,3
90,W1,0.9454545454545454,20,0.9454545454545454,0.9454545454545454,0,1,0.9454545454545454,0.9454545454545454,0,1
90,W2,0.4545454545454546,20,0.4545454545454546,0.4545454545454546,0,1,0.4545454545454546,0.4545454545454546,0,1
90,W3,0.7272727272727273,20,0.7272727272727273,0.7272727272727273,0,1,0.7272727272727273,0.7272727272727273,0,1
90,W4,0.4545454545454546,20,0.4545454545454546,0.4545454545454546,0,1,0.4545454545454546,0.4545454545454546,0,1
92,F1,0.9807692307692307,20,0.96,0.9807692307692307,0,2,0.96,0.9807692307692307,0,2
92,F2,0.75,20,0.48,0.75,0,2,0.48,0.75,0,2
92,F3,0.8653846153846154,20,0.72,0.8653846153846154,0,2,0.72,0.8653846153846154,0,2
92,S1,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
92,S2,0.0,20,0.0,0.0,20,1,0.0,0.0,20,1
92,S3,0.8846153846153846,20,0.76,0.8846153846153846,0,2,0.76,0.8846153846153846,0,2
